"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag"
"Ronaldo = A must watch at every opportunity 🇧🇷🤩 #FIFAWorldCup  #HBD #Ronaldo","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cxf10h8oeKQ/","403","A lenda","119448","2023-09-22T14:30:53.000Z",
"French connection. 🇫🇷🔗 

#FIFAWorldCup #France","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxiCiDcRGjw/","151","Los únicos franceses de verdad con pavard y rabiot 😂","66006","2023-09-23T11:00:10.000Z",
"🇳🇿🙌 Top flight football from New Zealand streaming around the globe from Saturday!

Catch it live on FIFA+.","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxfNkMDr89j/","53","Jaime","11204","2023-09-22T08:38:47.000Z",
"The FIFA Puskás Award Nominees have been announced! 🏆🎉

Watch the goals and vote now on FIFA.com! 🗳️","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxfVMjwLOZK/","5632","Ashattt","75557","2023-09-22T09:45:27.000Z",
"“Wanna see me score in slow motion?” ⏳🇩🇪","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxiKBFFvqdo/","107","Bien por oswaldo Alanis 👏","56903","2023-09-23T12:05:00.000Z",
"“It’s Tshabalala! Goal Bafana Bafana!” 🗣

Still iconic to this day! 🇿🇦

#FIFAWorldCup | #HBD","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cxm-WdXtQ4T/","290","It's great with the commentary of peter","92671","2023-09-25T09:00:03.000Z",
"Simply a phenomenon. 🇧🇷⭐️

Happy Birthday, @ronaldo! 🎂

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cxfre37CWcm/","299","⁹👑","96365","2023-09-22T13:00:13.000Z",
"Starboy, @kudus_mohammed 🇬🇭🌟","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxdM7_LLFD9/","97","❤️❤️❤️","42375","2023-09-21T14:05:04.000Z",
"🇵🇹🇦🇷 Portugal climb, while Argentina remain at the #FIFARanking summit.

Plus, Morocco, Colombia, Denmark and Japan all make progress inside the top 20.","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxcksKrrOQN/","1929","how is england number 4","329513","2023-09-21T08:03:07.000Z",
"Silky. Smooth. Isco! 🇪🇸","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxdqUfzO66M/","1719","DAVID WARNER AND SHIKHAR DHAWAN","1220187","2023-09-21T18:12:07.000Z",
